Nome,Preço Cx,Preço Uni,Ifood,Categoria
Catuaba,"R$ 0,00","0,00","R$ 0,00",Alcoolicos
Monster 473ml ,"R$ 0,00","9,00","R$ 11,47",Bebidas
Red bull 250ml,"R$ 0,00","9,00","R$ 11,47",Bebidas
Água de coco 200ml,"R$ 0,00","3,00","R$ 3,82",Bebidas
Água de coco 1L,"R$ 0,00","7,00","R$ 8,92",Bebidas
Água de coco congelada 200ml,"R$ 0,00","3,50","R$ 4,46",Bebidas
Suco Nutri nectar 1L,"R$ 0,00","5,50","R$ 7,01",Bebidas
Gin Taqueray 275ml,"R$ 0,00","0,00","R$ 0,00",Alcoolicos
Gin Rocks ,"R$ 0,00","0,00","R$ 0,00",Alcoolicos
Bananinha ,"R$ 0,00","0,00","R$ 0,00",Alcoolicos
Gin Intencion,"R$ 0,00","0,00","R$ 0,00",Alcoolicos
Caninha sertaneja pet,"R$ 0,00","4,00","R$ 5,10",Alcoolicos
São Francisco ,"R$ 0,00","0,00","R$ 0,00",Alcoolicos
Coca cola lata 310ml,"R$ 0,00","4,00","R$ 5,10",Bebidas
Coca cola lata 220ml Mini,"R$ 0,00","3,00","R$ 3,82",Bebidas
Fanta guaraná 310ml,"R$ 0,00","3,50","R$ 4,46",Bebidas
Fanta guaraná 220ml,"R$ 0,00","2,50","R$ 3,19",Bebidas
Guaraná Antártica 310ml,"R$ 0,00","3,50","R$ 4,46",Bebidas
Sprite 310ml,"R$ 0,00","3,50","R$ 4,46",Bebidas
Suco Kappo 200ml,"R$ 0,00","2,50","R$ 3,19",Bebidas
Suco Nutri Nectar 200ml,"R$ 0,00","2,00","R$ 2,55",Bebidas
Água mineral sem gás ,"R$ 0,00","2,00","R$ 2,55",Bebidas
Água mineral com gás ,"R$ 0,00","3,00","R$ 3,82",Bebidas
Coca cola 2L,"R$ 0,00","8,00","R$ 10,19",Bebidas
Fanta laranja 2L,"R$ 0,00","7,00","R$ 8,92",Bebidas
Sprite 2L,"R$ 0,00","7,50","R$ 9,56",Bebidas
Mineiro ,"R$ 0,00","6,00","R$ 7,64",Bebidas
"Guaraná Antarctica 2,5 L","R$ 0,00","7,00","R$ 8,92",Bebidas
"Guaraná Antarctica 1,5L","R$ 0,00","5,50","R$ 7,01",Bebidas
Suco del valle,"R$ 0,00","7,00","R$ 8,92",Bebidas
Bis oreo,"R$ 0,00","3,00","R$ 3,82",Chocolate
Bis,"R$ 0,00","3,00","R$ 3,82",Chocolate
Lollo,"R$ 0,00","0,00","R$ 0,00",Chocolate
Batom,"R$ 0,00","0,00","R$ 0,00",Chocolate
Toddynho,"R$ 0,00","2,50","R$ 3,19",Bebidas
Doces ,"R$ 0,00","2,00","R$ 2,55",Doces
Talentos ,"R$ 0,00","1,50","R$ 1,91",Doces
Chocolate barra,"R$ 0,00","6,00","R$ 7,64",Doces
Trento,"R$ 0,00","2,50","R$ 3,19",Doces
Halls,"R$ 0,00","1,50","R$ 1,91",Doces
Tridente,"R$ 0,00","2,00","R$ 2,55",Doces
Frutella,"R$ 0,00","2,00","R$ 2,55",Doces
Mentos,"R$ 0,00","2,00","R$ 2,55",Doces
Amendopa,"R$ 0,00","2,00","R$ 2,55",Salgado
Micos Grande - Micao,"R$ 0,00","3,50","R$ 4,46",Salgado
Micos medio,"R$ 0,00","3,00","R$ 3,82",Salgado
Micos Pequeno,"R$ 0,00","1,50","R$ 1,91",Salgado
Sheetos,"R$ 0,00","3,00","R$ 3,82",Salgado
